iter	RMSE
0	35405204.66
1	34896209.22
2	34363621.4
3	33839448.37
4	33336248.38
5	32840688.27
6	32370357.22
7	31904554.41
8	31460452.54
9	31023904.87
10	30591483.04
11	30188035.67
12	29767313.79
13	29353184.15
14	28952736.16
15	28572775.23
16	28191570.13
17	27817523.28
18	27454486.99
19	27105481.74
20	26757100.08
21	26418994.63
22	26091011.91
23	25761365.16
24	25450966.32
25	25131640.53
26	24817682.29
27	24516136.05
28	24217406.63
29	23926696.03
30	23644915.55
31	23370496.86
32	23095275.02
33	22843789.78
34	22588525.43
35	22342039.44
36	22103513.63
37	21860187.75
38	21627640.08
39	21401581.54
40	21173309.21
41	20947129.51
42	20728313.36
43	20517163.07
44	20308686.28
45	20108537.9
46	19912841.04
47	19722725
48	19543208.51
49	19366660.53
50	19183227.04
51	19007405.65
52	18832430.63
53	18661750.01
54	18505477.64
55	18350958.94
56	18191658.27
57	18040110.95
58	17892648.08
59	17750340.15
60	17612320.73
61	17471167.25
62	17333968.19
63	17198224.49
64	17070830.01
65	16943084
66	16815728.69
67	16690374.45
68	16572135.11
69	16456896.77
70	16343987.67
71	16233735.77
72	16129664.74
73	16025722.28
74	15920571.93
75	15822324.57
76	15723887.38
77	15625129.79
78	15527486.26
79	15428419.77
80	15337899.64
81	15248195.94
82	15151916.59
83	15065057.87
84	14975518.38
85	14890233.06
86	14803377.33
87	14721176.95
88	14643232.21
89	14571471.15
90	14500863.99
91	14422852.94
92	14349493.07
93	14277399.39
94	14206330.76
95	14134484.49
96	14069037.31
97	13999768.67
98	13935887.9
99	13881290.23
100	13819950.11
101	13760542.21
102	13699260.37
103	13642817.16
104	13586918.86
105	13530268.55
106	13478386.31
107	13422902.57
108	13369728.09
109	13312573.23
110	13262378.62
111	13208717.05
112	13164325.98
113	13118906.19
114	13072082.42
115	13027160.14
116	12975566.44
117	12932351.05
118	12888039.5
119	12841727.63
120	12802607.96
121	12765199.46
122	12727684.51
123	12686912.95
124	12643981.1
125	12606438.91
126	12566729.08
127	12526506.73
128	12487295.92
129	12449711.48
130	12411286.52
131	12373090.74
132	12341168.1
133	12305868.22
134	12270752.57
135	12237631.62
136	12206427.01
137	12174329.82
138	12142035.85
139	12110863.29
140	12082530.09
141	12049105.89
142	12022824.8
143	11998021.15
144	11967168.39
145	11936507.34
146	11909246.94
147	11887723.82
148	11862264.46
149	11837458.94
150	11814398.48
151	11785877.71
152	11766242.63
153	11743588.52
154	11719509.92
155	11696905.19
156	11676772.94
157	11653430.77
158	11628288.35
159	11603868.98
160	11581303.9
161	11552859.43
162	11530205.59
163	11504333.67
164	11485081.52
165	11463415.13
166	11441702.84
167	11420142.57
168	11398969.47
169	11379394.6
170	11362287.57
171	11344294.23
172	11324710.3
173	11308298.3
174	11290187.68
175	11270122.83
176	11247199.76
177	11228770.07
178	11206267.37
179	11191033.06
180	11170540.18
181	11151569.88
182	11130362.46
183	11113436.22
184	11091884.64
185	11071269.24
186	11054099.54
187	11032967.46
188	11011063.84
189	10993563.94
190	10974335.49
191	10956201.52
192	10936832.84
193	10918405.64
194	10900449.46
195	10880848.81
196	10867851.47
197	10855399.87
198	10838894.92
199	10820838.31
200	10804615.71
201	10793535.25
202	10780642.71
203	10761067.17
204	10746050.54
205	10728376.92
206	10708480.1
207	10693453.92
208	10674293.28
209	10660056.98
210	10641036.21
211	10616481.08
212	10596567.89
213	10577903.04
214	10563661.12
215	10552475.36
216	10539684.98
217	10518111.54
218	10495935.02
219	10471715.37
220	10447726.5
221	10432817.32
222	10415258.94
223	10395031.87
224	10374472.83
225	10363906.83
226	10356137.82
227	10342857.36
228	10323136.44
229	10303817.15
230	10287810.42
231	10269005.44
232	10246683.82
233	10234419.41
234	10215641.35
235	10204039.92
236	10184763.79
237	10167073.89
238	10163707.32
239	10148455.05
240	10133158.19
241	10119712.56
242	10100456.32
243	10087133.76
244	10076058.43
245	10061420.63
246	10047096.03
247	10039388.67
248	10028988.03
249	10010102.68
250	9997656.072
251	9974987.342
252	9952254.344
253	9938618.168
254	9917958.443
255	9902767.639
256	9882948.807
257	9863983.49
258	9844674.029
259	9832139.175
260	9813615.916
261	9795248.025
262	9776689.257
263	9756254.779
264	9738733.645
265	9725335.722
266	9705939.891
267	9689986.585
268	9688140.806
269	9675262.9
270	9657612.125
271	9643600.222
272	9631547.9
273	9618722.169
274	9608978.023
275	9592027.901
276	9578685.975
277	9561394.932
278	9545632.371
279	9544274.852
280	9534619.417
281	9519727.551
282	9509426.619
283	9501910.363
284	9494397.414
285	9483063.14
286	9473311.271
287	9455882.139
288	9454504.877
289	9441001.296
290	9426026.733
291	9424711.504
292	9423301.625
293	9412272.683
294	9398856.847
295	9397481.978
296	9388473.971
297	9375653.38
298	9367998.264
299	9359101.647
300	9342962.373
301	9333589.946
302	9325114.41
303	9321956.89
304	9312042.087
305	9302353.533
306	9301301.409
307	9280796.033
308	9266286.326
309	9247812.27
310	9234875.528
311	9222829.899
312	9207524.249
313	9189972.987
314	9175383.2
315	9160230.364
316	9146167.646
317	9134817.815
318	9120761.937
319	9107474.224
320	9089127.812
321	9075540.47
322	9060587.676
323	9044297.398
324	9026531.943
325	9008354.944
326	8994004.351
327	8985946.12
328	8971632.697
329	8960238.539
330	8948245.428
331	8933837.864
332	8916046.406
333	8905891.779
334	8893194.338
335	8881271.784
336	8865316.159
337	8855210.969
338	8842002.591
339	8830509.774
340	8818204.752
341	8811445.801
342	8798941.699
343	8786601.417
344	8777602.486
345	8766555.545
346	8756615.142
347	8744244.974
348	8733035.006
349	8721758.439
350	8717405.275
351	8705354.24
352	8692684.3
353	8683690.724
354	8680697.56
355	8670634.068
356	8663422.112
357	8653212.87
358	8643893.185
359	8634893.389
360	8624579.819
361	8612984.012
362	8606025.875
363	8598689.125
364	8589430.965
365	8583400.23
366	8582678.306
367	8581983.238
368	8572577.569
369	8565735.177
370	8557764.212
371	8549333.415
372	8544083.184
373	8537662.741
374	8528408.978
375	8519698.306
376	8515325.344
377	8508269.796
378	8498570.664
379	8498130.377
380	8491201.698
381	8487342.671
382	8481180.816
383	8477399.465
384	8469951.947
385	8465864.046
386	8455107.432
387	8453477.444
388	8450014.467
389	8446791.15
390	8438385.13
391	8428265.373
392	8423631.235
393	8420469.992
394	8411019.915
395	8409865.834
396	8409500.661
