iter	Passed	Remaining
0	95	476080
1	103	257545
2	188	314599
3	265	332145
4	280	280070
5	304	253688
6	321	229081
7	395	246724
8	464	257683
9	531	265353
10	545	247338
11	613	254981
12	675	259258
13	748	266591
14	811	269524
15	871	271625
16	937	274791
17	1004	277917
18	1067	279963
19	1131	281650
20	1142	270927
21	1205	272830
22	1278	276604
23	1347	279474
24	1412	281162
25	1471	281538
26	1535	282871
27	1598	283927
28	1656	283928
29	1718	284780
30	1779	285217
31	1841	285964
32	1910	287590
33	1933	282382
34	2010	285215
35	2085	287548
36	2153	288874
37	2225	290562
38	2291	291531
39	2349	291369
40	2408	291335
41	2470	291584
42	2534	292176
43	2596	292416
44	2658	292721
45	2718	292777
46	2735	288229
47	2754	284164
48	2816	284555
49	2875	284660
50	2943	285611
51	3002	285697
52	3060	285705
53	3120	285796
54	3182	286152
55	3240	286065
56	3306	286695
57	3358	286188
58	3419	286379
59	3481	286667
60	3540	286683
61	3604	287119
62	3668	287467
63	3732	287855
64	3787	287596
65	3849	287751
66	3903	287427
67	3961	287356
68	4022	287494
69	4088	287980
70	4144	287727
71	4205	287876
72	4269	288188
73	4328	288169
74	4387	288139
75	4447	288134
76	4509	288335
77	4571	288463
78	4630	288468
79	4696	288832
80	4766	289434
81	4828	289602
82	4884	289365
83	4947	289528
84	5010	289700
85	5070	289731
86	5134	289964
87	5193	289918
88	5253	289874
89	5317	290080
90	5411	291931
91	5471	291871
92	5532	291924
93	5590	291800
94	5651	291798
95	5710	291688
96	5769	291625
97	5828	291563
98	5892	291727
99	5955	291831
100	6016	291811
101	6078	291869
102	6139	291913
103	6206	292193
104	6265	292087
105	6331	292339
106	6393	292378
107	6461	292667
108	6523	292729
109	6582	292627
110	6642	292580
111	6711	292892
112	6777	293127
113	6849	293568
114	6915	293770
115	6982	293977
116	7040	293815
117	7108	294097
118	7167	293998
119	7232	294104
120	7293	294091
121	7363	294415
122	7429	294577
123	7531	296151
124	7592	296109
125	7654	296110
126	7716	296086
127	7780	296134
128	7843	296153
129	7905	296140
130	7970	296239
131	8034	296302
132	8091	296107
133	8159	296295
134	8224	296386
135	8287	296406
136	8347	296298
137	8409	296280
138	8477	296479
139	8547	296721
140	8612	296784
141	8680	296966
142	8740	296882
143	8804	296923
144	8869	296978
145	8926	296779
146	8988	296736
147	9052	296771
148	9117	296842
149	9185	296989
150	9250	297060
151	9311	296987
152	9375	296997
153	9442	297125
154	9507	297187
155	9572	297244
156	9635	297231
157	9701	297307
158	9767	297374
159	9832	297429
160	9898	297498
161	9966	297648
162	10031	297679
163	10097	297766
164	10162	297778
165	10229	297895
166	10293	297891
167	10353	297790
168	10411	297628
169	10479	297728
170	10548	297880
171	10607	297752
172	10672	297769
173	10737	297800
174	10806	297961
175	10874	298051
