price,postcode,total_square,rooms,floor,city,district,street_house
63000000,127473.0,137.0,3.0,6.0,Москва,Тверской район,2-й Щемиловский переулок_5
3250000,108815.0,16.7,2.0,1.0,Москва,Филимонковское поселение,Харлампиева_46
16004680,unknown,76.0,3.0,6.0,Москва,Сосенское поселение,ЖК Прокшино_8
7841776,unknown,24.0,1.0,10.0,Москва,Сосенское поселение,ЖК Прокшино_6
120000000,121352.0,126.0,3.0,16.0,Москва,Фили-Давыдково район,Давыдковская_18
13300000,142721.0,74.0,3.0,14.0,unknown,unknown,Пригородное шоссе_3
9500000,143986.0,65.0,2.0,3.0,Балашиха,unknown,Автозаводская_4
15000000,143072.0,87.0,3.0,11.0,unknown,unknown,Михаила Кутузова_15
7135671,unknown,35.8,2.0,11.0,Люберцы,unknown,3-й квартал_66
31500000,127427.0,68.3,2.0,4.0,Москва,Марфино район,улица Академика Королёва_21
20700000,123181.0,74.7,3.0,14.0,Москва,Строгино район,Кулакова_1
13442826,109052.0,51.9,2.0,21.0,Москва,Нижегородский район,Новохохловская_15
14000000,108849.0,53.0,2.0,14.0,Москва,Внуковское поселение,улица Бориса Пастернака_31
7200000,140016.0,34.8,1.0,16.0,Люберцы,unknown,Дружбы_11
11800000,143410.0,50.0,1.0,12.0,Красногорск,unknown,Красногорский бульвар_17
7550000,141402.0,42.0,1.0,8.0,Химки,unknown,Ленинградская_33
111264064,109028.0,107.0,2.0,2.0,Москва,Таганский район,Серебряническая набережная_19
65000000,119192.0,97.0,2.0,4.0,Москва,Раменки район,Ломоносовский проспект_25
37569823,unknown,140.1,4.0,12.0,Москва,Сосенское поселение,ЖК Скандинавия_23
9700000,117519.0,36.0,1.0,11.0,Москва,Чертаново Центральное район,Чертановская улица_31
11500000,117628.0,42.0,1.0,10.0,Москва,Северное Бутово район,Старобитцевская_7
8800000,141090.0,52.0,2.0,3.0,Королёв,unknown,Большая Комитетская_12
20640000,127427.0,37.48,1.0,17.0,Москва,Марфино район,улица Академика Королёва_21
27500000,127224.0,114.6,3.0,6.0,Москва,Северное Медведково район,Широкая_30
11500000,107589.0,45.3,2.0,2.0,Москва,Гольяново район,Хабаровская улица_18
18900000,123592.0,59.7,3.0,3.0,Москва,Строгино район,улица Маршала Катукова_16
170663394,123242.0,154.68,3.0,16.0,Москва,Пресненский район,Дружинниковская_15
15700000,141006.0,92.8,3.0,4.0,Мытищи,unknown,Индустриальная_7
23123514,107113.0,66.9,2.0,19.0,Москва,Сокольники район,улица Сокольнический Вал_37
12500000,142720.0,75.0,3.0,7.0,unknown,unknown,Южная_14
11218713,143441.0,39.16,1.0,24.0,Москва,Митино район,ЖК Аквилон Митино_1
15000000,115142.0,52.4,2.0,5.0,Москва,Нагатинский Затон район,Коломенская улица_27
65000000,125252.0,142.0,5.0,3.0,Москва,Хорошёвский район,Авиаконструктора Микояна_14
7026534,109052.0,20.63,1.0,3.0,Москва,Нижегородский район,Рязанский проспект_2
